Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,110.38,114.14,108.40,112.30,562900,112.30
2015-05-18,109.96,112.28,109.61,110.98,436300,110.98
2015-05-11,107.52,111.49,107.47,111.05,586900,111.05
2015-05-04,109.47,109.47,105.02,107.74,1135100,107.74
2015-04-27,109.57,110.91,106.44,108.37,1987500,108.37
2015-04-20,94.99,111.20,94.94,107.16,2296000,107.16
2015-04-13,100.39,100.99,93.95,94.50,2053700,93.79488
2015-04-06,100.92,101.86,99.20,100.02,1032900,99.27369
2015-03-30,101.57,103.43,99.55,100.74,838700,99.98831
2015-03-23,110.35,111.40,98.42,101.86,1702900,101.09996
2015-03-16,106.86,110.68,104.40,110.16,841300,109.33804
2015-03-09,107.45,108.19,104.22,105.48,928400,104.69296
2015-03-02,109.26,110.27,106.68,107.32,568600,106.51922
2015-02-23,105.63,110.85,105.01,107.68,1010600,106.87653
2015-02-17,102.51,105.17,101.97,104.85,415800,104.06765
2015-02-09,98.87,104.65,98.57,104.48,599200,103.70042
2015-02-02,102.98,103.93,100.44,100.79,820100,100.03795
2015-01-26,107.00,107.35,103.81,103.94,873400,103.16444
2015-01-20,103.11,107.95,102.78,105.31,1020000,104.52422
2015-01-12,104.45,105.32,101.23,103.04,885300,102.27116
2015-01-05,105.82,106.09,100.21,102.09,707400,101.32824
2014-12-29,109.17,109.59,106.58,107.40,340000,106.59863
2014-12-22,107.44,109.93,107.44,109.30,457900,108.48445
2014-12-15,106.51,108.12,103.26,106.84,634100,106.0428
2014-12-08,108.96,109.56,106.00,106.02,574400,105.22892
2014-12-01,106.17,109.51,105.04,109.27,645900,108.45467
2014-11-24,103.45,105.93,102.64,105.68,715700,104.89146
2014-11-17,102.15,106.95,101.87,105.68,792100,104.89146
2014-11-10,100.69,102.73,100.52,102.10,597800,101.33817
2014-11-03,99.56,101.98,98.32,99.77,488800,99.02555
2014-10-27,94.52,99.92,94.28,99.68,640600,98.93623
2014-10-20,90.95,95.58,90.93,95.06,668400,94.3507
2014-10-13,90.92,94.25,88.55,92.51,1303500,91.81973
2014-10-06,98.29,98.54,90.02,90.06,1093400,89.38801
2014-09-29,98.91,100.20,95.58,97.45,652200,96.72286
2014-09-22,100.55,100.60,98.04,100.06,885800,99.31339
2014-09-15,99.89,102.43,99.35,100.83,1139400,100.07764
2014-09-08,97.66,99.76,96.65,98.92,994300,98.18189
2014-09-02,96.08,101.28,95.81,97.71,1824800,96.98093
2014-08-25,94.51,96.73,94.39,96.12,540900,95.40279
2014-08-18,92.37,94.29,91.99,93.49,649200,92.79241
2014-08-11,92.18,92.79,90.60,91.80,613800,91.11503
2014-08-04,91.84,93.31,90.18,91.41,863500,90.72794
2014-07-28,83.98,96.67,83.26,92.30,2637100,91.6113
2014-07-21,87.47,88.10,84.58,84.97,1045200,84.33599
2014-07-14,91.31,91.54,85.31,85.84,1556900,85.19949
2014-07-07,95.92,96.24,90.86,91.42,928600,90.73786
2014-06-30,92.52,95.69,92.49,95.69,348700,94.976
2014-06-23,92.50,93.45,91.20,92.35,573000,91.66092
2014-06-16,90.11,94.91,89.96,94.80,1015000,94.09264
2014-06-09,88.54,90.12,88.52,89.38,852900,88.71308
2014-06-02,86.61,89.10,85.57,89.07,1035000,88.4054
2014-05-27,84.32,86.32,84.29,85.88,522300,85.2392
2014-05-19,80.89,83.85,80.81,83.52,478800,82.8968
2014-05-12,81.59,82.24,80.12,81.07,584300,80.46509
2014-05-05,80.07,81.72,79.66,80.32,811400,79.72068
2014-04-28,82.18,82.80,80.68,80.88,903800,80.2765
2014-04-21,81.81,84.45,81.04,81.68,1235700,81.07053
2014-04-14,86.58,87.30,79.94,81.65,2714500,80.23681
2014-04-07,91.13,92.63,86.74,87.33,1285300,85.8185
2014-03-31,92.90,93.78,90.50,90.82,628500,89.24809
2014-03-24,92.34,93.35,90.72,91.83,715600,90.24062
2014-03-17,90.43,93.83,90.25,92.39,839400,90.79092
2014-03-10,90.72,91.58,89.10,89.48,1524900,87.93129
2014-03-03,85.01,91.79,84.82,91.13,2259600,89.55273
2014-02-24,89.39,90.22,85.02,86.14,1266000,84.64909
2014-02-18,89.95,89.98,88.10,88.91,1744500,87.37115
2014-02-10,87.42,89.61,87.05,89.18,975800,87.63648
2014-02-03,85.46,87.61,83.92,87.56,879100,86.04452
2014-01-27,88.44,88.51,83.76,84.63,1400600,83.16523
2014-01-21,85.30,92.29,84.88,87.59,3033300,86.074
2014-01-13,90.08,91.41,83.28,84.40,1941900,82.93921
