"Week","Monthly mean discharge in cubic mters per second for the period of record,Niagra River at Queenston, 1860-1990"
"1860-W02",6650
"1860-W06",6260
"1860-W10",6570
"1860-W14",6820
"1860-W18",7190
"1860-W22",7110
"1860-W26",6940
"1860-W30",6910
"1860-W34",6680
"1860-W38",6480
"1860-W42",6880
"1860-W46",6570
"1860-W50",6760
"1861-W02",6230
"1861-W06",5890
"1861-W10",6230
"1861-W14",6820
"1861-W18",7190
"1861-W22",7140
"1861-W26",6970
"1861-W30",6880
"1861-W34",6910
"1861-W38",6940
"1861-W42",6940
"1861-W46",6850
"1861-W50",6750
"1862-W02",6770
"1862-W06",6400
"1862-W10",6540
"1862-W14",7080
"1862-W18",7310
"1862-W22",7220
"1862-W26",7220
"1862-W30",7020
"1862-W34",6910
"1862-W38",6710
"1862-W42",6600
"1862-W46",6650
"1862-W50",6870
"1863-W02",6800
"1863-W06",6820
"1863-W10",6820
"1863-W14",6820
"1863-W18",6850
"1863-W22",6880
"1863-W26",6630
"1863-W30",6680
"1863-W34",6430
"1863-W38",6230
"1863-W42",6340
"1863-W46",6260
"1863-W50",6630
"1864-W02",5890
"1864-W06",5830
"1864-W10",6000
"1864-W14",6260
"1864-W18",6850
"1864-W22",6740
"1864-W26",6460
"1864-W30",6400
"1864-W34",6290
"1864-W38",6170
"1864-W42",6230
"1864-W46",6290
"1864-W50",6290
"1865-W02",5830
"1865-W06",5300
"1865-W10",5550
"1865-W14",5950
"1865-W18",6310
"1865-W22",6370
"1865-W26",6260
"1865-W30",6170
"1865-W34",6140
"1865-W38",6090
"1865-W42",6000
"1865-W46",6030
"1865-W50",6000
"1866-W02",5660
"1866-W06",5440
"1866-W10",5720
"1866-W14",6000
"1866-W18",6260
"1866-W22",6430
"1866-W26",6340
"1866-W30",6290
"1866-W34",6170
"1866-W38",6230
"1866-W42",6230
"1866-W46",6400
"1866-W50",6100
"1867-W02",6030
"1867-W06",5660
"1867-W10",5970
"1867-W14",6120
"1867-W18",6540
"1867-W22",6740
"1867-W26",6540
"1867-W30",6310
"1867-W34",6090
"1867-W38",5970
"1867-W42",6030
"1867-W46",5750
"1867-W50",6150
"1868-W02",5440
"1868-W06",5070
"1868-W10",5470
"1868-W14",5920
"1868-W18",6310
"1868-W22",6570
"1868-W26",6400
"1868-W30",6230
"1868-W34",6120
"1868-W38",5920
"1868-W42",5890
"1868-W46",5780
"1868-W50",5930
"1869-W02",5580
"1869-W06",5380
"1869-W10",5750
"1869-W14",5860
"1869-W18",6230
"1869-W22",6400
"1869-W26",6570
"1869-W30",6570
"1869-W34",6340
"1869-W38",6400
"1869-W42",6140
"1869-W46",6400
"1869-W50",6140
"1870-W02",6370
"1870-W06",6370
"1870-W10",6290
"1870-W14",6630
"1870-W18",6850
"1870-W22",6800
"1870-W26",6740
"1870-W30",6710
"1870-W34",6600
"1870-W38",6460
"1870-W42",6460
"1870-W46",6400
"1870-W50",6560
"1871-W02",6090
"1871-W06",5720
"1871-W10",6060
"1871-W14",6290
"1871-W18",6570
"1871-W22",6540
"1871-W26",6460
"1871-W30",6370
"1871-W34",6290
"1871-W38",5950
"1871-W42",6000
"1871-W46",5780
"1871-W50",6180
"1872-W02",5550
"1872-W06",5240
"1872-W10",5240
"1872-W14",5300
"1872-W18",5660
"1872-W22",5830
"1872-W26",5750
"1872-W30",5750
"1872-W34",5660
"1872-W38",5640
"1872-W42",5610
"1872-W46",5520
"1872-W50",5560
"1873-W02",5240
"1873-W06",5100
"1873-W10",5210
"1873-W14",5920
"1873-W18",6460
"1873-W22",6460
"1873-W26",6370
"1873-W30",6340
"1873-W34",6140
"1873-W38",6030
"1873-W42",6090
"1873-W46",6370
"1873-W50",5980
"1874-W02",6430
"1874-W06",6310
"1874-W10",6400
"1874-W14",6430
"1874-W18",6570
"1874-W22",6570
"1874-W26",6510
"1874-W30",6400
"1874-W34",6170
"1874-W38",5970
"1874-W42",5890
"1874-W46",5800
"1874-W50",6290
"1875-W02",5470
"1875-W06",5210
"1875-W10",5350
"1875-W14",5520
"1875-W18",5920
"1875-W22",6120
"1875-W26",6140
"1875-W30",6140
"1875-W34",6120
"1875-W38",5890
"1875-W42",5970
"1875-W46",6170
"1875-W50",5840
"1876-W02",5950
"1876-W06",6140
"1876-W10",6630
"1876-W14",6910
"1876-W18",7220
"1876-W22",7250
"1876-W26",7080
"1876-W30",6910
"1876-W34",6850
"1876-W38",6570
"1876-W42",6820
"1876-W46",6650
"1876-W50",6750
"1877-W02",6140
"1877-W06",5950
"1877-W10",5830
"1877-W14",6030
"1877-W18",6290
"1877-W22",6290
"1877-W26",6370
"1877-W30",6290
"1877-W34",6290
"1877-W38",6140
"1877-W42",6260
"1877-W46",6370
"1877-W50",6190
"1878-W02",6230
"1878-W06",6170
"1878-W10",6290
"1878-W14",6480
"1878-W18",6770
"1878-W22",6710
"1878-W26",6630
"1878-W30",6480
"1878-W34",6460
"1878-W38",6310
"1878-W42",6370
"1878-W46",6480
"1878-W50",6450
"1879-W02",6030
"1879-W06",5780
"1879-W10",5830
"1879-W14",6000
"1879-W18",6170
"1879-W22",6200
"1879-W26",6140
"1879-W30",6000
"1879-W34",5830
"1879-W38",5800
"1879-W42",5690
"1879-W46",5890
"1879-W50",5950
"1880-W02",6000
"1880-W06",5890
"1880-W10",6030
"1880-W14",6060
"1880-W18",6310
"1880-W22",6340
"1880-W26",6340
"1880-W30",6170
"1880-W34",6090
"1880-W38",5950
"1880-W42",6090
"1880-W46",5920
"1880-W50",6100
"1881-W02",5470
"1881-W06",5380
"1881-W10",5640
"1881-W14",5950
"1881-W18",6310
"1881-W22",6460
"1881-W26",6340
"1881-W30",6120
"1881-W34",5950
"1881-W38",6030
"1881-W42",6090
"1881-W46",6260
"1881-W50",6000
"1882-W02",6400
"1882-W06",6230
"1882-W10",6600
"1882-W14",6650
"1882-W18",6880
"1882-W22",6940
"1882-W26",6850
"1882-W30",6770
"1882-W34",6650
"1882-W38",6460
"1882-W42",6430
"1882-W46",6140
"1882-W50",6590
"1883-W02",5890
"1883-W06",5860
"1883-W10",6060
"1883-W14",6060
"1883-W18",6460
"1883-W22",6850
"1883-W26",6910
"1883-W30",6880
"1883-W34",6740
"1883-W38",6630
"1883-W42",6570
"1883-W46",6630
"1883-W50",6470
"1884-W02",6230
"1884-W06",6230
"1884-W10",6400
"1884-W14",6680
"1884-W18",6970
"1884-W22",6970
"1884-W26",6740
"1884-W30",6650
"1884-W34",6430
"1884-W38",6310
"1884-W42",6170
"1884-W46",6170
"1884-W50",6500
"1885-W02",5890
"1885-W06",5610
"1885-W10",5550
"1885-W14",6000
"1885-W18",6570
"1885-W22",6880
"1885-W26",6770
"1885-W30",6800
"1885-W34",6740
"1885-W38",6770
"1885-W42",6880
"1885-W46",6880
"1885-W50",6450
"1886-W02",6710
"1886-W06",6090
"1886-W10",6000
"1886-W14",6510
"1886-W18",6800
"1886-W22",6820
"1886-W26",6740
"1886-W30",6600
"1886-W34",6480
"1886-W38",6430
"1886-W42",6430
"1886-W46",6430
"1886-W50",6510
"1887-W02",6090
"1887-W06",6230
"1887-W10",6680
"1887-W14",6650
"1887-W18",6850
"1887-W22",6880
"1887-W26",6650
"1887-W30",6430
"1887-W34",6260
"1887-W38",6340
"1887-W42",6060
"1887-W46",6060
"1887-W50",6430
"1888-W02",5920
"1888-W06",5520
"1888-W10",5640
"1888-W14",6030
"1888-W18",6200
"1888-W22",6260
"1888-W26",6290
"1888-W30",6230
"1888-W34",6060
"1888-W38",5950
"1888-W42",5920
"1888-W46",6120
"1888-W50",6010
"1889-W02",5890
"1889-W06",5750
"1889-W10",5580
"1889-W14",5780
"1889-W18",5970
"1889-W22",6230
"1889-W26",6120
"1889-W30",6120
"1889-W34",5890
"1889-W38",5610
"1889-W42",5640
"1889-W46",5830
"1889-W50",5870
"1890-W02",6120
"1890-W06",6000
"1890-W10",6230
"1890-W14",6370
"1890-W18",6680
"1890-W22",6850
"1890-W26",6540
"1890-W30",6260
"1890-W34",6060
"1890-W38",6090
"1890-W42",6290
"1890-W46",6120
"1890-W50",6300
"1891-W02",5800
"1891-W06",5750
"1891-W10",5920
"1891-W14",5970
"1891-W18",5920
"1891-W22",5830
"1891-W26",5830
"1891-W30",5690
"1891-W34",5580
"1891-W38",5410
"1891-W42",5410
"1891-W46",5470
"1891-W50",5710
"1892-W02",5300
"1892-W06",4840
"1892-W10",5070
"1892-W14",5320
"1892-W18",5920
"1892-W22",6370
"1892-W26",6400
"1892-W30",6170
"1892-W34",6060
"1892-W38",5860
"1892-W42",5720
"1892-W46",5660
"1892-W50",5730
"1893-W02",5100
"1893-W06",5040
"1893-W10",5300
"1893-W14",5690
"1893-W18",6230
"1893-W22",6400
"1893-W26",6230
"1893-W30",5830
"1893-W34",5750
