"Month","Monthly riverflow in cms, Oostanaula River at resaca, GA, 1893 ? 1960"
"1893-01",28.317
"1893-02",43.891
"1893-03",39.644
"1893-04",50.234
"1893-05",170.411
"1893-06",100.468
"1893-07",64.506
"1893-08",93.106
"1893-09",88.519
"1893-10",32.989
"1893-11",27.213
"1893-12",29.563
"1894-01",16.367
"1894-02",16.112
"1894-03",23.956
"1894-04",59.324
"1894-05",104.093
"1894-06",87.782
"1894-07",55.190
"1894-08",40.663
"1894-09",21.719
"1894-10",21.662
"1894-11",23.333
"1894-12",15.688
"1895-01",9.599
"1895-02",13.167
"1895-03",64.251
"1895-04",185.645
"1895-05",92.228
"1895-06",173.243
"1895-07",102.139
"1895-08",88.745
"1895-09",53.151
"1895-10",58.871
"1895-11",55.614
"1895-12",27.637
"1896-01",19.510
"1896-02",27.439
"1896-03",36.755
"1896-04",67.932
"1896-05",119.667
"1896-06",69.716
"1896-07",71.415
"1896-08",46.779
"1896-09",59.550
"1896-10",58.418
"1896-11",18.802
"1896-12",16.056
"1897-01",17.726
"1897-02",51.480
"1897-03",42.447
"1897-04",56.237
"1897-05",132.126
"1897-06",272.465
"1897-07",156.224
"1897-08",63.232
"1897-09",34.263
"1897-10",54.312
"1897-11",27.637
"1897-12",13.677
"1898-01",14.385
"1898-02",15.914
"1898-03",59.834
"1898-04",109.501
"1898-05",43.155
"1898-06",66.630
"1898-07",123.660
"1898-08",37.945
"1898-09",32.140
"1898-10",34.717
"1898-11",59.041
"1898-12",122.301
"1899-01",136.770
"1899-02",68.470
"1899-03",64.902
"1899-04",86.791
"1899-05",275.410
"1899-06",277.080
"1899-07",142.972
"1899-08",60.995
"1899-09",43.042
"1899-10",84.214
"1899-11",37.407
"1899-12",30.950
"1900-01",18.038
"1900-02",21.549
"1900-03",51.961
"1900-04",86.989
"1900-05",146.568
"1900-06",151.184
"1900-07",121.791
"1900-08",50.602
"1900-09",146.172
"1900-10",82.289
"1900-11",39.191
"1900-12",43.778
"1901-01",32.678
"1901-02",58.871
"1901-03",83.960
"1901-04",167.239
"1901-05",123.037
"1901-06",151.495
"1901-07",177.207
"1901-08",146.285
"1901-09",87.641
"1901-10",47.119
"1901-11",161.718
"1901-12",74.757
"1902-01",41.824
"1902-02",33.471
"1902-03",167.806
"1902-04",118.591
"1902-05",150.476
"1902-06",204.136
"1902-07",95.909
"1902-08",50.064
"1902-09",34.886
"1902-10",26.306
"1902-11",22.625
"1902-12",26.391
"1903-01",20.983
"1903-02",27.326
"1903-03",71.528
"1903-04",68.385
"1903-05",225.685
"1903-06",250.463
"1903-07",151.552
"1903-08",56.605
"1903-09",91.520
"1903-10",56.294
"1903-11",47.487
"1903-12",16.537
"1904-01",16.509
"1904-02",21.436
"1904-03",18.066
"1904-04",38.681
"1904-05",61.363
"1904-06",100.610
"1904-07",52.046
"1904-08",30.327
"1904-09",28.883
"1904-10",20.162
"1904-11",31.064
"1904-12",10.506
"1905-01",7.362
"1905-02",9.373
"1905-03",46.553
"1905-04",79.004
"1905-05",195.047
"1905-06",77.022
"1905-07",59.041
"1905-08",97.014
"1905-09",43.551
"1905-10",49.753
"1905-11",48.280
"1905-12",22.654
"1906-01",25.457
"1906-02",20.728
"1906-03",144.020
"1906-04",148.862
"1906-05",60.513
"1906-06",172.421
"1906-07",95.456
"1906-08",62.410
"1906-09",102.252
"1906-10",115.561
"1906-11",88.434
"1906-12",88.292
"1907-01",145.804
"1907-02",170.128
"1907-03",97.099
"1907-04",80.760
"1907-05",132.410
"1907-06",107.547
"1907-07",74.388
"1907-08",89.538
"1907-09",83.988
"1907-10",50.178
"1907-11",32.253
"1907-12",50.517
"1908-01",32.111
"1908-02",75.351
"1908-03",86.876
"1908-04",104.942
"1908-05",169.816
"1908-06",119.299
"1908-07",107.094
"1908-08",75.464
"1908-09",41.796
"1908-10",37.492
"1908-11",35.934
"1908-12",20.105
"1909-01",18.548
"1909-02",15.574
"1909-03",94.267
"1909-04",104.319
"1909-05",209.148
"1909-06",268.132
"1909-07",111.852
"1909-08",142.972
"1909-09",180.633
"1909-10",73.935
"1909-11",67.451
"1909-12",33.867
"1910-01",27.637
"1910-02",15.914
"1910-03",46.893
"1910-04",53.802
"1910-05",74.643
"1910-06",63.855
"1910-07",50.517
"1910-08",150.816
"1910-09",112.163
"1910-10",123.150
"1910-11",60.315
"1910-12",52.726
"1911-01",32.649
"1911-02",26.052
"1911-03",55.756
"1911-04",108.454
"1911-05",105.650
"1911-06",64.817
"1911-07",152.118
"1911-08",54.595
"1911-09",34.915
"1911-10",36.416
"1911-11",23.050
"1911-12",13.082
"1912-01",30.752
"1912-02",39.842
"1912-03",77.701
"1912-04",91.973
"1912-05",156.875
"1912-06",205.014
"1912-07",162.171
"1912-08",105.848
"1912-09",84.044
"1912-10",74.728
"1912-11",58.050
"1912-12",33.499
"1913-01",29.195
"1913-02",24.721
"1913-03",49.073
"1913-04",125.727
"1913-05",143.963
"1913-06",252.756
